id,club_code,current_club,previous_club,first_name,middle_name,last_name,jersey_name,jersey_number,nationality,position,appearances,substitute_appearances,goals_scored,own_goals,assists_made
3420,BUR,Burnley,Wolverhampton Wanderers,Stephen,,Ward,Ward,23,Ireland,Defender,3.0,0.0,0.0,0.0,0.0
3421,BUR,Burnley,Everton,Aaron,,Lennon,Lennon,25,England,Midfielder,4.0,0.0,0.0,0.0,0.0
3422,BUR,Burnley,Stoke City,Phillip,,Bardsley,Bardsley,26,Scotland,Defender,1.0,0.0,0.0,0.0,0.0
3423,BUR,Burnley,Derby County,Matěj,,Vydra,Vydra,27,Czech Republic,Forward,1.0,1.0,0.0,0.0,0.0
3424,BUR,Burnley,Cork City,Kevin,,Long,Long,28,Ireland,Defender,,,,,
3425,BUR,Burnley,Charlton Athletic,Nick,,Pope,Pope,29,England,Goalkeeper,,,,,
3426,BUR,Burnley,Birmingham City,Adam,,Legzdins,Legzdins,30,England,Goalkeeper,,,,,
3427,BUR,Burnley,,Dwight,,McNeil,McNeil,31,England,Forward,1.0,0.0,0.0,0.0,0.0
3428,BUR,Burnley,AFC Wimbledon,Daniel,,Agyei,Agyei,32,England,Forward,,,,,
3501,EVE,Everton,Sunderland,Jordan,,Pickford,Pickford,1,England,Goalkeeper,4.0,0.0,0.0,0.0,0.0
3502,EVE,Everton,Barnsley,Mason,,Holgate,Holgate,2,England,Defender,4.0,1.0,0.0,0.0,0.0
3503,EVE,Everton,Wigan Athletic,Leighton,,Baines,Baines,3,England,Defender,4.0,1.0,0.0,0.0,0.0
3504,EVE,Everton,Burnley,Michael,,Keane,Keane,4,England,Defender,3.0,0.0,1.0,0.0,1.0
3505,EVE,Everton,Sheffield United,Phil,,Jagielka,Jagielka,6,England,Defender,1.0,0.0,0.0,0.0,0.0
3507,EVE,Everton,Barcelona,André,,Gomes,Gomes,8,Portugal,Midfielder,,,,,
3509,EVE,Everton,Swansea City,Gylfi,,Sigurðsson,Sigurðsson,10,Iceland,Midfielder,4.0,0.0,0.0,0.0,1.0
3510,EVE,Everton,Arsenal,Theo,,Walcott,Walcott,11,England,Forward,4.0,0.0,2.0,0.0,1.0
3511,EVE,Everton,Barcelona,Lucas,,Digne,Digne,12,France,Defender,2.0,1.0,0.0,0.0,1.0
3512,EVE,Everton,Barcelona,Yerry,,Mina,Mina,13,Colombia,Defender,,,,,
3513,EVE,Everton,Beşiktaş,Cenk,,Tosun,Tosun,14,Turkey,Forward,4.0,0.0,0.0,0.0,2.0
3515,EVE,Everton,Wigan Athletic,James,,McCarthy,McCarthy,16,Ireland,Midfielder,,,,,
3516,EVE,Everton,Aston Villa,Idrissa,,Gueye,Gueye,17,Senegal,Midfielder,3.0,0.0,0.0,0.0,0.0
3517,EVE,Everton,Manchester United,Morgan,,Schneiderlin,Schneiderlin,18,France,Midfielder,3.0,0.0,0.0,0.0,1.0
3518,EVE,Everton,Lokomotiv Moscow,Oumar,,Niasse,Niasse,19,Senegal,Forward,3.0,3.0,0.0,0.0,0.0
3519,EVE,Everton,Shakhtar Donetsk,Bernard,,Duarte,Bernard,20,Brazil,Midfielder,1.0,1.0,0.0,0.0,0.0
3521,EVE,Everton,Fulham,Maarten,,Stekelenburg,Stekelenburg,22,Netherlands,Goalkeeper,,,,,
3522,EVE,Everton,Sligo Rovers,Séamus,,Coleman,Coleman,23,Ireland,Defender,4.0,0.0,0.0,0.0,0.0
3523,EVE,Everton,,Tom,,Davies,Davies,26,England,Midfielder,3.0,1.0,0.0,0.0,0.0
3524,EVE,Everton,Hajduk Split,Nikola,,Vlašić,Vlašić,27,Croatia,Midfielder,,,,,
